"REF_DATE","GEO","DGUID","Census year (2)","Age (in single years), average age and median age (128)","Gender (3a)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","2021","7","Total - Gender","","0","units","0","","1.1.12.1","409840","","","","0"
"2021","Canada","2021A000011124","2021","7","Men+","","0","units","0","","1.1.12.2","209745","","","","0"
"2021","Canada","2021A000011124","2021","7","Women+","","0","units","0","","1.1.12.3","200090","","","","0"
"2021","Canada","2021A000011124","2021","8","Total - Gender","","0","units","0","","1.1.13.1","417195","","","","0"
"2021","Canada","2021A000011124","2021","8","Men+","","0","units","0","","1.1.13.2","214760","","","","0"
"2021","Canada","2021A000011124","2021","8","Women+","","0","units","0","","1.1.13.3","202435","","","","0"
"2021","Canada","2021A000011124","2021","9","Total - Gender","","0","units","0","","1.1.14.1","418690","","","","0"
"2021","Canada","2021A000011124","2021","9","Men+","","0","units","0","","1.1.14.2","214935","","","","0"
"2021","Canada","2021A000011124","2021","9","Women+","","0","units","0","","1.1.14.3","203755","","","","0"
"2021","Canada","2021A000011124","2021","10 to 14 years","Total - Gender","","0","units","0","","1.1.15.1","2126700","","","","0"
"2021","Canada","2021A000011124","2021","10 to 14 years","Men+","","0","units","0","","1.1.15.2","1093480","","","","0"
"2021","Canada","2021A000011124","2021","10 to 14 years","Women+","","0","units","0","","1.1.15.3","1033220","","","","0"
"2021","Canada","2021A000011124","2021","10","Total - Gender","","0","units","0","","1.1.16.1","420750","","","","0"
"2021","Canada","2021A000011124","2021","10","Men+","","0","units","0","","1.1.16.2","216060","","","","0"
"2021","Canada","2021A000011124","2021","10","Women+","","0","units","0","","1.1.16.3","204685","","","","0"
"2021","Canada","2021A000011124","2021","11","Total - Gender","","0","units","0","","1.1.17.1","429225","","","","0"
"2021","Canada","2021A000011124","2021","11","Men+","","0","units","0","","1.1.17.2","220335","","","","0"
"2021","Canada","2021A000011124","2021","11","Women+","","0","units","0","","1.1.17.3","208890","","","","0"
"2021","Canada","2021A000011124","2021","12","Total - Gender","","0","units","0","","1.1.18.1","431365","","","","0"
"2021","Canada","2021A000011124","2021","12","Men+","","0","units","0","","1.1.18.2","222120","","","","0"
"2021","Canada","2021A000011124","2021","12","Women+","","0","units","0","","1.1.18.3","209245","","","","0"
"2021","Canada","2021A000011124","2021","13","Total - Gender","","0","units","0","","1.1.19.1","429160","","","","0"
"2021","Canada","2021A000011124","2021","13","Men+","","0","units","0","","1.1.19.2","220635","","","","0"
"2021","Canada","2021A000011124","2021","13","Women+","","0","units","0","","1.1.19.3","208525","","","","0"
"2021","Canada","2021A000011124","2021","14","Total - Gender","","0","units","0","","1.1.20.1","416205","","","","0"
"2021","Canada","2021A000011124","2021","14","Men+","","0","units","0","","1.1.20.2","214330","","","","0"
"2021","Canada","2021A000011124","2021","14","Women+","","0","units","0","","1.1.20.3","201875","","","","0"
"2021","Canada","2021A000011124","2021","15 to 64 years","Total - Gender","","0","units","0","","1.1.21.1","23957755","","","","0"
"2021","Canada","2021A000011124","2021","15 to 64 years","Men+","","0","units","0","","1.1.21.2","11915045","","","","0"
"2021","Canada","2021A000011124","2021","15 to 64 years","Women+","","0","units","0","","1.1.21.3","12042710","","","","0"
"2021","Canada","2021A000011124","2021","15 to 19 years","Total - Gender","","0","units","0","","1.1.22.1","2012975","","","","0"
"2021","Canada","2021A000011124","2021","15 to 19 years","Men+","","0","units","0","","1.1.22.2","1036735","","","","0"
"2021","Canada","2021A000011124","2021","15 to 19 years","Women+","","0","units","0","","1.1.22.3","976240","","","","0"
"2021","Canada","2021A000011124","2021","15","Total - Gender","","0","units","0","","1.1.23.1","406580","","","","0"
"2021","Canada","2021A000011124","2021","15","Men+","","0","units","0","","1.1.23.2","209600","","","","0"
"2021","Canada","2021A000011124","2021","15","Women+","","0","units","0","","1.1.23.3","196975","","","","0"
"2021","Canada","2021A000011124","2021","16","Total - Gender","","0","units","0","","1.1.24.1","402335","","","","0"
"2021","Canada","2021A000011124","2021","16","Men+","","0","units","0","","1.1.24.2","207565","","","","0"
"2021","Canada","2021A000011124","2021","16","Women+","","0","units","0","","1.1.24.3","194765","","","","0"
"2021","Canada","2021A000011124","2021","17","Total - Gender","","0","units","0","","1.1.25.1","403145","","","","0"
"2021","Canada","2021A000011124","2021","17","Men+","","0","units","0","","1.1.25.2","207765","","","","0"
"2021","Canada","2021A000011124","2021","17","Women+","","0","units","0","","1.1.25.3","195380","","","","0"
"2021","Canada","2021A000011124","2021","18","Total - Gender","","0","units","0","","1.1.26.1","395805","","","","0"
"2021","Canada","2021A000011124","2021","18","Men+","","0","units","0","","1.1.26.2","203440","","","","0"
"2021","Canada","2021A000011124","2021","18","Women+","","0","units","0","","1.1.26.3","192365","","","","0"
"2021","Canada","2021A000011124","2021","19","Total - Gender","","0","units","0","","1.1.27.1","405110","","","","0"
"2021","Canada","2021A000011124","2021","19","Men+","","0","units","0","","1.1.27.2","208355","","","","0"
"2021","Canada","2021A000011124","2021","19","Women+","","0","units","0","","1.1.27.3","196750","","","","0"
"2021","Canada","2021A000011124","2021","20 to 24 years","Total - Gender","","0","units","0","","1.1.28.1","2202260","","","","0"
"2021","Canada","2021A000011124","2021","20 to 24 years","Men+","","0","units","0","","1.1.28.2","1138825","","","","0"
"2021","Canada","2021A000011124","2021","20 to 24 years","Women+","","0","units","0","","1.1.28.3","1063435","","","","0"
"2021","Canada","2021A000011124","2021","20","Total - Gender","","0","units","0","","1.1.29.1","423730","","","","0"
"2021","Canada","2021A000011124","2021","20","Men+","","0","units","0","","1.1.29.2","218925","","","","0"
"2021","Canada","2021A000011124","2021","20","Women+","","0","units","0","","1.1.29.3","204810","","","","0"
"2021","Canada","2021A000011124","2021","21","Total - Gender","","0","units","0","","1.1.30.1","438380","","","","0"
"2021","Canada","2021A000011124","2021","21","Men+","","0","units","0","","1.1.30.2","226965","","","","0"
"2021","Canada","2021A000011124","2021","21","Women+","","0","units","0","","1.1.30.3","211415","","","","0"
"2021","Canada","2021A000011124","2021","22","Total - Gender","","0","units","0","","1.1.31.1","435015","","","","0"
"2021","Canada","2021A000011124","2021","22","Men+","","0","units","0","","1.1.31.2","224810","","","","0"
"2021","Canada","2021A000011124","2021","22","Women+","","0","units","0","","1.1.31.3","210205","","","","0"
"2021","Canada","2021A000011124","2021","23","Total - Gender","","0","units","0","","1.1.32.1","446860","","","","0"
"2021","Canada","2021A000011124","2021","23","Men+","","0","units","0","","1.1.32.2","230735","","","","0"
"2021","Canada","2021A000011124","2021","23","Women+","","0","units","0","","1.1.32.3","216120","","","","0"
"2021","Canada","2021A000011124","2021","24","Total - Gender","","0","units","0","","1.1.33.1","458270","","","","0"
"2021","Canada","2021A000011124","2021","24","Men+","","0","units","0","","1.1.33.2","237390","","","","0"
"2021","Canada","2021A000011124","2021","24","Women+","","0","units","0","","1.1.33.3","220880","","","","0"
"2021","Canada","2021A000011124","2021","25 to 29 years","Total - Gender","","0","units","0","","1.1.34.1","2421505","","","","0"
"2021","Canada","2021A000011124","2021","25 to 29 years","Men+","","0","units","0","","1.1.34.2","1228140","","","","0"
"2021","Canada","2021A000011124","2021","25 to 29 years","Women+","","0","units","0","","1.1.34.3","1193370","","","","0"
"2021","Canada","2021A000011124","2021","25","Total - Gender","","0","units","0","","1.1.35.1","474640","","","","0"
"2021","Canada","2021A000011124","2021","25","Men+","","0","units","0","","1.1.35.2","243640","","","","0"
"2021","Canada","2021A000011124","2021","25","Women+","","0","units","0","","1.1.35.3","231000","","","","0"
"2021","Canada","2021A000011124","2021","26","Total - Gender","","0","units","0","","1.1.36.1","479315","","","","0"
"2021","Canada","2021A000011124","2021","26","Men+","","0","units","0","","1.1.36.2","245650","","","","0"
"2021","Canada","2021A000011124","2021","26","Women+","","0","units","0","","1.1.36.3","233665","","","","0"
"2021","Canada","2021A000011124","2021","27","Total - Gender","","0","units","0","","1.1.37.1","479085","","","","0"
"2021","Canada","2021A000011124","2021","27","Men+","","0","units","0","","1.1.37.2","242600","","","","0"
"2021","Canada","2021A000011124","2021","27","Women+","","0","units","0","","1.1.37.3","236485","","","","0"
"2021","Canada","2021A000011124","2021","28","Total - Gender","","0","units","0","","1.1.38.1","489695","","","","0"
"2021","Canada","2021A000011124","2021","28","Men+","","0","units","0","","1.1.38.2","246895","","","","0"
"2021","Canada","2021A000011124","2021","28","Women+","","0","units","0","","1.1.38.3","242795","","","","0"
"2021","Canada","2021A000011124","2021","29","Total - Gender","","0","units","0","","1.1.39.1","498775","","","","0"
"2021","Canada","2021A000011124","2021","29","Men+","","0","units","0","","1.1.39.2","249345","","","","0"
"2021","Canada","2021A000011124","2021","29","Women+","","0","units","0","","1.1.39.3","249425","","","","0"
"2021","Canada","2021A000011124","2021","30 to 34 years","Total - Gender","","0","units","0","","1.1.40.1","2518830","","","","0"
"2021","Canada","2021A000011124","2021","30 to 34 years","Men+","","0","units","0","","1.1.40.2","1252795","","","","0"
"2021","Canada","2021A000011124","2021","30 to 34 years","Women+","","0","units","0","","1.1.40.3","1266040","","","","0"
"2021","Canada","2021A000011124","2021","30","Total - Gender","","0","units","0","","1.1.41.1","514560","","","","0"
"2021","Canada","2021A000011124","2021","30","Men+","","0","units","0","","1.1.41.2","257850","","","","0"
"2021","Canada","2021A000011124","2021","30","Women+","","0","units","0","","1.1.41.3","256710","","","","0"
"2021","Canada","2021A000011124","2021","31","Total - Gender","","0","units","0","","1.1.42.1","516355","","","","0"
"2021","Canada","2021A000011124","2021","31","Men+","","0","units","0","","1.1.42.2","257430","","","","0"
"2021","Canada","2021A000011124","2021","31","Women+","","0","units","0","","1.1.42.3","258925","","","","0"
"2021","Canada","2021A000011124","2021","32","Total - Gender","","0","units","0","","1.1.43.1","500840","","","","0"
"2021","Canada","2021A000011124","2021","32","Men+","","0","units","0","","1.1.43.2","249145","","","","0"
"2021","Canada","2021A000011124","2021","32","Women+","","0","units","0","","1.1.43.3","251695","","","","0"
"2021","Canada","2021A000011124","2021","33","Total - Gender","","0","units","0","","1.1.44.1","491460","","","","0"
"2021","Canada","2021A000011124","2021","33","Men+","","0","units","0","","1.1.44.2","243345","","","","0"
"2021","Canada","2021A000011124","2021","33","Women+","","0","units","0","","1.1.44.3","248110","","","","0"
"2021","Canada","2021A000011124","2021","34","Total - Gender","","0","units","0","","1.1.45.1","495625","","","","0"
"2021","Canada","2021A000011124","2021","34","Men+","","0","units","0","","1.1.45.2","245030","","","","0"
"2021","Canada","2021A000011124","2021","34","Women+","","0","units","0","","1.1.45.3","250600","","","","0"
"2021","Canada","2021A000011124","2021","35 to 39 years","Total - Gender","","0","units","0","","1.1.46.1","2511350","","","","0"
"2021","Canada","2021A000011124","2021","35 to 39 years","Men+","","0","units","0","","1.1.46.2","1238520","","","","0"
"2021","Canada","2021A000011124","2021","35 to 39 years","Women+","","0","units","0","","1.1.46.3","1272830","","","","0"
"2021","Canada","2021A000011124","2021","35","Total - Gender","","0","units","0","","1.1.47.1","504590","","","","0"
"2021","Canada","2021A000011124","2021","35","Men+","","0","units","0","","1.1.47.2","250395","","","","0"
"2021","Canada","2021A000011124","2021","35","Women+","","0","units","0","","1.1.47.3","254195","","","","0"
"2021","Canada","2021A000011124","2021","36","Total - Gender","","0","units","0","","1.1.48.1","506800","","","","0"
"2021","Canada","2021A000011124","2021","36","Men+","","0","units","0","","1.1.48.2","250420","","","","0"
"2021","Canada","2021A000011124","2021","36","Women+","","0","units","0","","1.1.48.3","256380","","","","0"
"2021","Canada","2021A000011124","2021","37","Total - Gender","","0","units","0","","1.1.49.1","502415","","","","0"
"2021","Canada","2021A000011124","2021","37","Men+","","0","units","0","","1.1.49.2","247740","","","","0"
"2021","Canada","2021A000011124","2021","37","Women+","","0","units","0","","1.1.49.3","254680","","","","0"
"2021","Canada","2021A000011124","2021","38","Total - Gender","","0","units","0","","1.1.50.1","500840","","","","0"
"2021","Canada","2021A000011124","2021","38","Men+","","0","units","0","","1.1.50.2","246360","","","","0"
"2021","Canada","2021A000011124","2021","38","Women+","","0","units","0","","1.1.50.3","254475","","","","0"
"2021","Canada","2021A000011124","2021","39","Total - Gender","","0","units","0","","1.1.51.1","496700","","","","0"
"2021","Canada","2021A000011124","2021","39","Men+","","0","units","0","","1.1.51.2","243605","","","","0"
"2021","Canada","2021A000011124","2021","39","Women+","","0","units","0","","1.1.51.3","253100","","","","0"
"2021","Canada","2021A000011124","2021","40 to 44 years","Total - Gender","","0","units","0","","1.1.52.1","2399400","","","","0"
"2021","Canada","2021A000011124","2021","40 to 44 years","Men+","","0","units","0","","1.1.52.2","1175875","","","","0"
"2021","Canada","2021A000011124","2021","40 to 44 years","Women+","","0","units","0","","1.1.52.3","1223525","","","","0"
"2021","Canada","2021A000011124","2021","40","Total - Gender","","0","units","0","","1.1.53.1","498020","","","","0"
"2021","Canada","2021A000011124","2021","40","Men+","","0","units","0","","1.1.53.2","244890","","","","0"
"2021","Canada","2021A000011124","2021","40","Women+","","0","units","0","","1.1.53.3","253130","","","","0"
"2021","Canada","2021A000011124","2021","41","Total - Gender","","0","units","0","","1.1.54.1","489500","","","","0"
"2021","Canada","2021A000011124","2021","41","Men+","","0","units","0","","1.1.54.2","240190","","","","0"
"2021","Canada","2021A000011124","2021","41","Women+","","0","units","0","","1.1.54.3","249310","","","","0"
"2021","Canada","2021A000011124","2021","42","Total - Gender","","0","units","0","","1.1.55.1","477125","","","","0"
"2021","Canada","2021A000011124","2021","42","Men+","","0","units","0","","1.1.55.2","233410","","","","0"
"2021","Canada","2021A000011124","2021","42","Women+","","0","units","0","","1.1.55.3","243715","","","","0"
"2021","Canada","2021A000011124","2021","43","Total - Gender","","0","units","0","","1.1.56.1","468210","","","","0"
"2021","Canada","2021A000011124","2021","43","Men+","","0","units","0","","1.1.56.2","229465","","","","0"
"2021","Canada","2021A000011124","2021","43","Women+","","0","units","0","","1.1.56.3","238750","","","","0"
"2021","Canada","2021A000011124","2021","44","Total - Gender","","0","units","0","","1.1.57.1","466540","","","","0"
"2021","Canada","2021A000011124","2021","44","Men+","","0","units","0","","1.1.57.2","227920","","","","0"
"2021","Canada","2021A000011124","2021","44","Women+","","0","units","0","","1.1.57.3","238615","","","","0"
"2021","Canada","2021A000011124","2021","45 to 49 years","Total - Gender","","0","units","0","","1.1.58.1","2304175","","","","0"
"2021","Canada","2021A000011124","2021","45 to 49 years","Men+","","0","units","0","","1.1.58.2","1129190","","","","0"
"2021","Canada","2021A000011124","2021","45 to 49 years","Women+","","0","units","0","","1.1.58.3","1174985","","","","0"
"2021","Canada","2021A000011124","2021","45","Total - Gender","","0","units","0","","1.1.59.1","465380","","","","0"
"2021","Canada","2021A000011124","2021","45","Men+","","0","units","0","","1.1.59.2","227855","","","","0"
"2021","Canada","2021A000011124","2021","45","Women+","","0","units","0","","1.1.59.3","237525","","","","0"
"2021","Canada","2021A000011124","2021","46","Total - Gender","","0","units","0","","1.1.60.1","466585","","","","0"
"2021","Canada","2021A000011124","2021","46","Men+","","0","units","0","","1.1.60.2","228840","","","","0"
"2021","Canada","2021A000011124","2021","46","Women+","","0","units","0","","1.1.60.3","237750","","","","0"
"2021","Canada","2021A000011124","2021","47","Total - Gender","","0","units","0","","1.1.61.1","453990","","","","0"
"2021","Canada","2021A000011124","2021","47","Men+","","0","units","0","","1.1.61.2","221725","","","","0"
"2021","Canada","2021A000011124","2021","47","Women+","","0","units","0","","1.1.61.3","232265","","","","0"
"2021","Canada","2021A000011124","2021","48","Total - Gender","","0","units","0","","1.1.62.1","454670","","","","0"
"2021","Canada","2021A000011124","2021","48","Men+","","0","units","0","","1.1.62.2","223080","","","","0"
"2021","Canada","2021A000011124","2021","48","Women+","","0","units","0","","1.1.62.3","231585","","","","0"
"2021","Canada","2021A000011124","2021","49","Total - Gender","","0","units","0","","1.1.63.1","463545","","","","0"
"2021","Canada","2021A000011124","2021","49","Men+","","0","units","0","","1.1.63.2","227690","","","","0"
"2021","Canada","2021A000011124","2021","49","Women+","","0","units","0","","1.1.63.3","235855","","","","0"
"2021","Canada","2021A000011124","2021","50 to 54 years","Total - Gender","","0","units","0","","1.1.64.1","2368355","","","","0"
"2021","Canada","2021A000011124","2021","50 to 54 years","Men+","","0","units","0","","1.1.64.2","1161665","","","","0"
"2021","Canada","2021A000011124","2021","50 to 54 years","Women+","","0","units","0","","1.1.64.3","1206685","","","","0"
"2021","Canada","2021A000011124","2021","50","Total - Gender","","0","units","0","","1.1.65.1","483620","","","","0"
"2021","Canada","2021A000011124","2021","50","Men+","","0","units","0","","1.1.65.2","237580","","","","0"
"2021","Canada","2021A000011124","2021","50","Women+","","0","units","0","","1.1.65.3","246035","","","","0"
"2021","Canada","2021A000011124","2021","51","Total - Gender","","0","units","0","","1.1.66.1","476270","","","","0"
"2021","Canada","2021A000011124","2021","51","Men+","","0","units","0","","1.1.66.2","233880","","","","0"
"2021","Canada","2021A000011124","2021","51","Women+","","0","units","0","","1.1.66.3","242390","","","","0"
"2021","Canada","2021A000011124","2021","52","Total - Gender","","0","units","0","","1.1.67.1","471040","","","","0"
"2021","Canada","2021A000011124","2021","52","Men+","","0","units","0","","1.1.67.2","230830","","","","0"
"2021","Canada","2021A000011124","2021","52","Women+","","0","units","0","","1.1.67.3","240210","","","","0"
"2021","Canada","2021A000011124","2021","53","Total - Gender","","0","units","0","","1.1.68.1","466400","","","","0"
"2021","Canada","2021A000011124","2021","53","Men+","","0","units","0","","1.1.68.2","228680","","","","0"
"2021","Canada","2021A000011124","2021","53","Women+","","0","units","0","","1.1.68.3","237720","","","","0"
"2021","Canada","2021A000011124","2021","54","Total - Gender","","0","units","0","","1.1.69.1","471025","","","","0"
"2021","Canada","2021A000011124","2021","54","Men+","","0","units","0","","1.1.69.2","230700","","","","0"
"2021","Canada","2021A000011124","2021","54","Women+","","0","units","0","","1.1.69.3","240330","","","","0"
"2021","Canada","2021A000011124","2021","55 to 59 years","Total - Gender","","0","units","0","","1.1.70.1","2647325","","","","0"
"2021","Canada","2021A000011124","2021","55 to 59 years","Men+","","0","units","0","","1.1.70.2","1299980","","","","0"
"2021","Canada","2021A000011124","2021","55 to 59 years","Women+","","0","units","0","","1.1.70.3","1347350","","","","0"
"2021","Canada","2021A000011124","2021","55","Total - Gender","","0","units","0","","1.1.71.1","498235","","","","0"
"2021","Canada","2021A000011124","2021","55","Men+","","0","units","0","","1.1.71.2","245275","","","","0"
"2021","Canada","2021A000011124","2021","55","Women+","","0","units","0","","1.1.71.3","252965","","","","0"
"2021","Canada","2021A000011124","2021","56","Total - Gender","","0","units","0","","1.1.72.1","532250","","","","0"
"2021","Canada","2021A000011124","2021","56","Men+","","0","units","0","","1.1.72.2","261100","","","","0"
"2021","Canada","2021A000011124","2021","56","Women+","","0","units","0","","1.1.72.3","271145","","","","0"
"2021","Canada","2021A000011124","2021","57","Total - Gender","","0","units","0","","1.1.73.1","541810","","","","0"
"2021","Canada","2021A000011124","2021","57","Men+","","0","units","0","","1.1.73.2","266300","","","","0"
"2021","Canada","2021A000011124","2021","57","Women+","","0","units","0","","1.1.73.3","275505","","","","0"
"2021","Canada","2021A000011124","2021","58","Total - Gender","","0","units","0","","1.1.74.1","545045","","","","0"
"2021","Canada","2021A000011124","2021","58","Men+","","0","units","0","","1.1.74.2","267915","","","","0"
"2021","Canada","2021A000011124","2021","58","Women+","","0","units","0","","1.1.74.3","277125","","","","0"
"2021","Canada","2021A000011124","2021","59","Total - Gender","","0","units","0","","1.1.75.1","529990","","","","0"
"2021","Canada","2021A000011124","2021","59","Men+","","0","units","0","","1.1.75.2","259390","","","","0"
"2021","Canada","2021A000011124","2021","59","Women+","","0","units","0","","1.1.75.3","270605","","","","0"
"2021","Canada","2021A000011124","2021","60 to 64 years","Total - Gender","","0","units","0","","1.1.76.1","2571585","","","","0"
"2021","Canada","2021A000011124","2021","60 to 64 years","Men+","","0","units","0","","1.1.76.2","1253335","","","","0"
"2021","Canada","2021A000011124","2021","60 to 64 years","Women+","","0","units","0","","1.1.76.3","1318250","","","","0"
"2021","Canada","2021A000011124","2021","60","Total - Gender","","0","units","0","","1.1.77.1","536720","","","","0"
"2021","Canada","2021A000011124","2021","60","Men+","","0","units","0","","1.1.77.2","262305","","","","0"
"2021","Canada","2021A000011124","2021","60","Women+","","0","units","0","","1.1.77.3","274420","","","","0"
"2021","Canada","2021A000011124","2021","61","Total - Gender","","0","units","0","","1.1.78.1","525440","","","","0"
"2021","Canada","2021A000011124","2021","61","Men+","","0","units","0","","1.1.78.2","256190","","","","0"
"2021","Canada","2021A000011124","2021","61","Women+","","0","units","0","","1.1.78.3","269245","","","","0"
"2021","Canada","2021A000011124","2021","62","Total - Gender","","0","units","0","","1.1.79.1","511115","","","","0"
"2021","Canada","2021A000011124","2021","62","Men+","","0","units","0","","1.1.79.2","248935","","","","0"
"2021","Canada","2021A000011124","2021","62","Women+","","0","units","0","","1.1.79.3","262180","","","","0"
"2021","Canada","2021A000011124","2021","63","Total - Gender","","0","units","0","","1.1.80.1","506130","","","","0"
"2021","Canada","2021A000011124","2021","63","Men+","","0","units","0","","1.1.80.2","246735","","","","0"
"2021","Canada","2021A000011124","2021","63","Women+","","0","units","0","","1.1.80.3","259400","","","","0"
"2021","Canada","2021A000011124","2021","64 ","Total - Gender","","0","units","0","","1.1.81.1","492175","","","","0"
"2021","Canada","2021A000011124","2021","64 ","Men+","","0","units","0","","1.1.81.2","239175","","","","0"
"2021","Canada","2021A000011124","2021","64 ","Women+","","0","units","0","","1.1.81.3","253000","","","","0"
"2021","Canada","2021A000011124","2021","65 years and over","Total - Gender","","0","units","0","","1.1.82.1","7021430","","","","0"
"2021","Canada","2021A000011124","2021","65 years and over","Men+","","0","units","0","","1.1.82.2","3224680","","","","0"
"2021","Canada","2021A000011124","2021","65 years and over","Women+","","0","units","0","","1.1.82.3","3796745","","","","0"
"2021","Canada","2021A000011124","2021","65 to 69 years","Total - Gender","","0","units","0","","1.1.83.1","2210975","","","","0"
"2021","Canada","2021A000011124","2021","65 to 69 years","Men+","","0","units","0","","1.1.83.2","1065305","","","","0"
"2021","Canada","2021A000011124","2021","65 to 69 years","Women+","","0","units","0","","1.1.83.3","1145670","","","","0"
"2021","Canada","2021A000011124","2021","65","Total - Gender","","0","units","0","","1.1.84.1","475600","","","","0"
"2021","Canada","2021A000011124","2021","65","Men+","","0","units","0","","1.1.84.2","230650","","","","0"
"2021","Canada","2021A000011124","2021","65","Women+","","0","units","0","","1.1.84.3","244955","","","","0"
"2021","Canada","2021A000011124","2021","66","Total - Gender","","0","units","0","","1.1.85.1","467500","","","","0"
"2021","Canada","2021A000011124","2021","66","Men+","","0","units","0","","1.1.85.2","225700","","","","0"
"2021","Canada","2021A000011124","2021","66","Women+","","0","units","0","","1.1.85.3","241800","","","","0"
"2021","Canada","2021A000011124","2021","67","Total - Gender","","0","units","0","","1.1.86.1","444575","","","","0"
"2021","Canada","2021A000011124","2021","67","Men+","","0","units","0","","1.1.86.2","213380","","","","0"
"2021","Canada","2021A000011124","2021","67","Women+","","0","units","0","","1.1.86.3","231195","","","","0"
"2021","Canada","2021A000011124","2021","68","Total - Gender","","0","units","0","","1.1.87.1","421165","","","","0"
"2021","Canada","2021A000011124","2021","68","Men+","","0","units","0","","1.1.87.2","202460","","","","0"
"2021","Canada","2021A000011124","2021","68","Women+","","0","units","0","","1.1.87.3","218710","","","","0"
"2021","Canada","2021A000011124","2021","69","Total - Gender","","0","units","0","","1.1.88.1","402125","","","","0"
"2021","Canada","2021A000011124","2021","69","Men+","","0","units","0","","1.1.88.2","193115","","","","0"
"2021","Canada","2021A000011124","2021","69","Women+","","0","units","0","","1.1.88.3","209015","","","","0"
"2021","Canada","2021A000011124","2021","70 to 74 years","Total - Gender","","0","units","0","","1.1.89.1","1847580","","","","0"
"2021","Canada","2021A000011124","2021","70 to 74 years","Men+","","0","units","0","","1.1.89.2","879845","","","","0"
